// This is the correct ugly numbers list

The 161 'th ugly number is 7290.
The 162 'th ugly number is 7500.
The 163 'th ugly number is 7680.
The 164 'th ugly number is 7776.
The 165 'th ugly number is 8000.
The 166 'th ugly number is 8100.
The 167 'th ugly number is 8192.
The 168 'th ugly number is 8640.
The 169 'th ugly number is 8748.
The 170 'th ugly number is 9000.
The 171 'th ugly number is 9216.
The 172 'th ugly number is 9375.
The 173 'th ugly number is 9600.
The 174 'th ugly number is 9720.
The 175 'th ugly number is 10000.
The 176 'th ugly number is 10125.
The 177 'th ugly number is 10240.
The 178 'th ugly number is 10368.
The 179 'th ugly number is 10800.
The 180 'th ugly number is 10935.
The 181 'th ugly number is 11250.
The 182 'th ugly number is 11520.
The 183 'th ugly number is 11664.
The 184 'th ugly number is 12000.
The 185 'th ugly number is 12150.
The 186 'th ugly number is 12288.
The 187 'th ugly number is 12500.
The 188 'th ugly number is 12800.
The 189 'th ugly number is 12960.
The 190 'th ugly number is 13122.
The 191 'th ugly number is 13500.
The 192 'th ugly number is 13824.
The 193 'th ugly number is 14400.
The 194 'th ugly number is 14580.
The 195 'th ugly number is 15000.
The 196 'th ugly number is 15360.
The 197 'th ugly number is 15552.
The 198 'th ugly number is 15625.
The 199 'th ugly number is 16000.
The 200 'th ugly number is 16200.
The 201 'th ugly number is 16384.
The 202 'th ugly number is 16875.
The 203 'th ugly number is 17280.
The 204 'th ugly number is 17496.
The 205 'th ugly number is 18000.
The 206 'th ugly number is 18225.
The 207 'th ugly number is 18432.
The 208 'th ugly number is 18750.
The 209 'th ugly number is 19200.
The 210 'th ugly number is 19440.
The 211 'th ugly number is 19683.
The 212 'th ugly number is 20000.
The 213 'th ugly number is 20250.
The 214 'th ugly number is 20480.
The 215 'th ugly number is 20736.
The 216 'th ugly number is 21600.
The 217 'th ugly number is 21870.
The 218 'th ugly number is 22500.
The 219 'th ugly number is 23040.
The 220 'th ugly number is 23328.
The 221 'th ugly number is 24000.
The 222 'th ugly number is 24300.
The 223 'th ugly number is 24576.
The 224 'th ugly number is 25000.
The 225 'th ugly number is 25600.
The 226 'th ugly number is 25920.
The 227 'th ugly number is 26244.
The 228 'th ugly number is 27000.
The 229 'th ugly number is 27648.
The 230 'th ugly number is 28125.
The 231 'th ugly number is 28800.
The 232 'th ugly number is 29160.
The 233 'th ugly number is 30000.
The 234 'th ugly number is 30375.
The 235 'th ugly number is 30720.
The 236 'th ugly number is 31104.
The 237 'th ugly number is 31250.
The 238 'th ugly number is 32000.
The 239 'th ugly number is 32400.
The 240 'th ugly number is 32768.
The 241 'th ugly number is 32805.
The 242 'th ugly number is 33750.
The 243 'th ugly number is 34560.
The 244 'th ugly number is 34992.
The 245 'th ugly number is 36000.
The 246 'th ugly number is 36450.
The 247 'th ugly number is 36864.
The 248 'th ugly number is 37500.
The 249 'th ugly number is 38400.
The 250 'th ugly number is 38880.
The 251 'th ugly number is 39366.
The 252 'th ugly number is 40000.
The 253 'th ugly number is 40500.
The 254 'th ugly number is 40960.
The 255 'th ugly number is 41472.
The 256 'th ugly number is 43200.
The 257 'th ugly number is 43740.
The 258 'th ugly number is 45000.
The 259 'th ugly number is 46080.
The 260 'th ugly number is 46656.
The 261 'th ugly number is 46875.
The 262 'th ugly number is 48000.
The 263 'th ugly number is 48600.
The 264 'th ugly number is 49152.
The 265 'th ugly number is 50000.
The 266 'th ugly number is 50625.
The 267 'th ugly number is 51200.
The 268 'th ugly number is 51840.
The 269 'th ugly number is 52488.
The 270 'th ugly number is 54000.
The 271 'th ugly number is 54675.
The 272 'th ugly number is 55296.
The 273 'th ugly number is 56250.
The 274 'th ugly number is 57600.
The 275 'th ugly number is 58320.
The 276 'th ugly number is 59049.
The 277 'th ugly number is 60000.
The 278 'th ugly number is 60750.
The 279 'th ugly number is 61440.
The 280 'th ugly number is 62208.
The 281 'th ugly number is 62500.
The 282 'th ugly number is 64000.
The 283 'th ugly number is 64800.
The 284 'th ugly number is 65536.
The 285 'th ugly number is 65610.
The 286 'th ugly number is 67500.
The 287 'th ugly number is 69120.
The 288 'th ugly number is 69984.
The 289 'th ugly number is 72000.
The 290 'th ugly number is 72900.
The 291 'th ugly number is 73728.
The 292 'th ugly number is 75000.
The 293 'th ugly number is 76800.
The 294 'th ugly number is 77760.
The 295 'th ugly number is 78125.
The 296 'th ugly number is 78732.
The 297 'th ugly number is 80000.
The 298 'th ugly number is 81000.
The 299 'th ugly number is 81920.
The 300 'th ugly number is 82944.
The 301 'th ugly number is 84375.
The 302 'th ugly number is 86400.
The 303 'th ugly number is 87480.
The 304 'th ugly number is 90000.
The 305 'th ugly number is 91125.
The 306 'th ugly number is 92160.
The 307 'th ugly number is 93312.
The 308 'th ugly number is 93750.
The 309 'th ugly number is 96000.
The 310 'th ugly number is 97200.
The 311 'th ugly number is 98304.
The 312 'th ugly number is 98415.
The 313 'th ugly number is 100000.
The 314 'th ugly number is 101250.
The 315 'th ugly number is 102400.
The 316 'th ugly number is 103680.
The 317 'th ugly number is 104976.
The 318 'th ugly number is 108000.
The 319 'th ugly number is 109350.
The 320 'th ugly number is 110592.
The 321 'th ugly number is 112500.
The 322 'th ugly number is 115200.
The 323 'th ugly number is 116640.
The 324 'th ugly number is 118098.
The 325 'th ugly number is 120000.
The 326 'th ugly number is 121500.
The 327 'th ugly number is 122880.
The 328 'th ugly number is 124416.
The 329 'th ugly number is 125000.
The 330 'th ugly number is 128000.
The 331 'th ugly number is 129600.
The 332 'th ugly number is 131072.
The 333 'th ugly number is 131220.
The 334 'th ugly number is 135000.
The 335 'th ugly number is 138240.
The 336 'th ugly number is 139968.
The 337 'th ugly number is 140625.
The 338 'th ugly number is 144000.
The 339 'th ugly number is 145800.
The 340 'th ugly number is 147456.
The 341 'th ugly number is 150000.
The 342 'th ugly number is 151875.
The 343 'th ugly number is 153600.
The 344 'th ugly number is 155520.
The 345 'th ugly number is 156250.
The 346 'th ugly number is 157464.
The 347 'th ugly number is 160000.
The 348 'th ugly number is 162000.
The 349 'th ugly number is 163840.
The 350 'th ugly number is 164025.
The 351 'th ugly number is 165888.
The 352 'th ugly number is 168750.
The 353 'th ugly number is 172800.
The 354 'th ugly number is 174960.
The 355 'th ugly number is 177147.
The 356 'th ugly number is 180000.
The 357 'th ugly number is 182250.
The 358 'th ugly number is 184320.
The 359 'th ugly number is 186624.
The 360 'th ugly number is 187500.
The 361 'th ugly number is 192000.
The 362 'th ugly number is 194400.
The 363 'th ugly number is 196608.
The 364 'th ugly number is 196830.
The 365 'th ugly number is 200000.
The 366 'th ugly number is 202500.
The 367 'th ugly number is 204800.
The 368 'th ugly number is 207360.
The 369 'th ugly number is 209952.
The 370 'th ugly number is 216000.
The 371 'th ugly number is 218700.
The 372 'th ugly number is 221184.
The 373 'th ugly number is 225000.
The 374 'th ugly number is 230400.
The 375 'th ugly number is 233280.
The 376 'th ugly number is 234375.
The 377 'th ugly number is 236196.
The 378 'th ugly number is 240000.
The 379 'th ugly number is 243000.
The 380 'th ugly number is 245760.
The 381 'th ugly number is 248832.
The 382 'th ugly number is 250000.
The 383 'th ugly number is 253125.
The 384 'th ugly number is 256000.
The 385 'th ugly number is 259200.
The 386 'th ugly number is 262144.
The 387 'th ugly number is 262440.
The 388 'th ugly number is 270000.
The 389 'th ugly number is 273375.
The 390 'th ugly number is 276480.
The 391 'th ugly number is 279936.
The 392 'th ugly number is 281250.
The 393 'th ugly number is 288000.
The 394 'th ugly number is 291600.
The 395 'th ugly number is 294912.
The 396 'th ugly number is 295245.
The 397 'th ugly number is 300000.
The 398 'th ugly number is 303750.
The 399 'th ugly number is 307200.
The 400 'th ugly number is 311040.
The 401 'th ugly number is 312500.
The 402 'th ugly number is 314928.
The 403 'th ugly number is 320000.
The 404 'th ugly number is 324000.
The 405 'th ugly number is 327680.
The 406 'th ugly number is 328050.
The 407 'th ugly number is 331776.
The 408 'th ugly number is 337500.
The 409 'th ugly number is 345600.
The 410 'th ugly number is 349920.
The 411 'th ugly number is 354294.
The 412 'th ugly number is 360000.
The 413 'th ugly number is 364500.
The 414 'th ugly number is 368640.
The 415 'th ugly number is 373248.
The 416 'th ugly number is 375000.
The 417 'th ugly number is 384000.
The 418 'th ugly number is 388800.
The 419 'th ugly number is 390625.
The 420 'th ugly number is 393216.
The 421 'th ugly number is 393660.
The 422 'th ugly number is 400000.
The 423 'th ugly number is 405000.
The 424 'th ugly number is 409600.
The 425 'th ugly number is 414720.
The 426 'th ugly number is 419904.
The 427 'th ugly number is 421875.
The 428 'th ugly number is 432000.
The 429 'th ugly number is 437400.
The 430 'th ugly number is 442368.
The 431 'th ugly number is 450000.
The 432 'th ugly number is 455625.
The 433 'th ugly number is 460800.
The 434 'th ugly number is 466560.
The 435 'th ugly number is 468750.
The 436 'th ugly number is 472392.
The 437 'th ugly number is 480000.
The 438 'th ugly number is 486000.
The 439 'th ugly number is 491520.
The 440 'th ugly number is 492075.
The 441 'th ugly number is 497664.
The 442 'th ugly number is 500000.
The 443 'th ugly number is 506250.
The 444 'th ugly number is 512000.
The 445 'th ugly number is 518400.
The 446 'th ugly number is 524288.
The 447 'th ugly number is 524880.
The 448 'th ugly number is 531441.
The 449 'th ugly number is 540000.
The 450 'th ugly number is 546750.
The 451 'th ugly number is 552960.
The 452 'th ugly number is 559872.
The 453 'th ugly number is 562500.
The 454 'th ugly number is 576000.
The 455 'th ugly number is 583200.
The 456 'th ugly number is 589824.
The 457 'th ugly number is 590490.
The 458 'th ugly number is 600000.
The 459 'th ugly number is 607500.
The 460 'th ugly number is 614400.
The 461 'th ugly number is 622080.
The 462 'th ugly number is 625000.
The 463 'th ugly number is 629856.
The 464 'th ugly number is 640000.
The 465 'th ugly number is 648000.
The 466 'th ugly number is 655360.
The 467 'th ugly number is 656100.
The 468 'th ugly number is 663552.
The 469 'th ugly number is 675000.
The 470 'th ugly number is 691200.
The 471 'th ugly number is 699840.
The 472 'th ugly number is 703125.
The 473 'th ugly number is 708588.
The 474 'th ugly number is 720000.
The 475 'th ugly number is 729000.
The 476 'th ugly number is 737280.
The 477 'th ugly number is 746496.
The 478 'th ugly number is 750000.
The 479 'th ugly number is 759375.
The 480 'th ugly number is 768000.
The 481 'th ugly number is 777600.
The 482 'th ugly number is 781250.
The 483 'th ugly number is 786432.
The 484 'th ugly number is 787320.
The 485 'th ugly number is 800000.
The 486 'th ugly number is 810000.
The 487 'th ugly number is 819200.
The 488 'th ugly number is 820125.
The 489 'th ugly number is 829440.
The 490 'th ugly number is 839808.
The 491 'th ugly number is 843750.
The 492 'th ugly number is 864000.
The 493 'th ugly number is 874800.
The 494 'th ugly number is 884736.
The 495 'th ugly number is 885735.
The 496 'th ugly number is 900000.
The 497 'th ugly number is 911250.
The 498 'th ugly number is 921600.
The 499 'th ugly number is 933120.
The 500 'th ugly number is 937500.
The 501 'th ugly number is 944784.
The 502 'th ugly number is 960000.
The 503 'th ugly number is 972000.
The 504 'th ugly number is 983040.
The 505 'th ugly number is 984150.
The 506 'th ugly number is 995328.
The 507 'th ugly number is 1000000.
The 508 'th ugly number is 1012500.
The 509 'th ugly number is 1024000.
The 510 'th ugly number is 1036800.
The 511 'th ugly number is 1048576.
The 512 'th ugly number is 1049760.
The 513 'th ugly number is 1062882.
The 514 'th ugly number is 1080000.
The 515 'th ugly number is 1093500.
The 516 'th ugly number is 1105920.
The 517 'th ugly number is 1119744.
The 518 'th ugly number is 1125000.
The 519 'th ugly number is 1152000.
The 520 'th ugly number is 1166400.
The 521 'th ugly number is 1171875.
The 522 'th ugly number is 1179648.
The 523 'th ugly number is 1180980.
The 524 'th ugly number is 1200000.
The 525 'th ugly number is 1215000.
The 526 'th ugly number is 1228800.
The 527 'th ugly number is 1244160.
The 528 'th ugly number is 1250000.
The 529 'th ugly number is 1259712.
The 530 'th ugly number is 1265625.
The 531 'th ugly number is 1280000.
The 532 'th ugly number is 1296000.
The 533 'th ugly number is 1310720.
The 534 'th ugly number is 1312200.
The 535 'th ugly number is 1327104.
The 536 'th ugly number is 1350000.
The 537 'th ugly number is 1366875.
The 538 'th ugly number is 1382400.
The 539 'th ugly number is 1399680.
The 540 'th ugly number is 1406250.
The 541 'th ugly number is 1417176.
The 542 'th ugly number is 1440000.
The 543 'th ugly number is 1458000.
The 544 'th ugly number is 1474560.
The 545 'th ugly number is 1476225.
The 546 'th ugly number is 1492992.
The 547 'th ugly number is 1500000.
The 548 'th ugly number is 1518750.
The 549 'th ugly number is 1536000.
The 550 'th ugly number is 1555200.
The 551 'th ugly number is 1562500.
The 552 'th ugly number is 1572864.
The 553 'th ugly number is 1574640.
The 554 'th ugly number is 1594323.
The 555 'th ugly number is 1600000.
The 556 'th ugly number is 1620000.
The 557 'th ugly number is 1638400.
The 558 'th ugly number is 1640250.
The 559 'th ugly number is 1658880.
The 560 'th ugly number is 1679616.
The 561 'th ugly number is 1687500.
The 562 'th ugly number is 1728000.
The 563 'th ugly number is 1749600.
The 564 'th ugly number is 1769472.
The 565 'th ugly number is 1771470.
The 566 'th ugly number is 1800000.
The 567 'th ugly number is 1822500.
The 568 'th ugly number is 1843200.
The 569 'th ugly number is 1866240.
The 570 'th ugly number is 1875000.
The 571 'th ugly number is 1889568.
The 572 'th ugly number is 1920000.
The 573 'th ugly number is 1944000.
The 574 'th ugly number is 1953125.
The 575 'th ugly number is 1966080.
The 576 'th ugly number is 1968300.
The 577 'th ugly number is 1990656.
The 578 'th ugly number is 2000000.
The 579 'th ugly number is 2025000.
The 580 'th ugly number is 2048000.
The 581 'th ugly number is 2073600.
The 582 'th ugly number is 2097152.
The 583 'th ugly number is 2099520.
The 584 'th ugly number is 2109375.
The 585 'th ugly number is 2125764.
The 586 'th ugly number is 2160000.
The 587 'th ugly number is 2187000.
The 588 'th ugly number is 2211840.
The 589 'th ugly number is 2239488.
The 590 'th ugly number is 2250000.
The 591 'th ugly number is 2278125.
The 592 'th ugly number is 2304000.
The 593 'th ugly number is 2332800.
The 594 'th ugly number is 2343750.
The 595 'th ugly number is 2359296.
The 596 'th ugly number is 2361960.
The 597 'th ugly number is 2400000.
The 598 'th ugly number is 2430000.
The 599 'th ugly number is 2457600.
The 600 'th ugly number is 2460375.
The 601 'th ugly number is 2488320.
The 602 'th ugly number is 2500000.
The 603 'th ugly number is 2519424.
The 604 'th ugly number is 2531250.
The 605 'th ugly number is 2560000.
The 606 'th ugly number is 2592000.
The 607 'th ugly number is 2621440.
The 608 'th ugly number is 2624400.
The 609 'th ugly number is 2654208.
The 610 'th ugly number is 2657205.
The 611 'th ugly number is 2700000.
The 612 'th ugly number is 2733750.
The 613 'th ugly number is 2764800.
The 614 'th ugly number is 2799360.
The 615 'th ugly number is 2812500.
The 616 'th ugly number is 2834352.
The 617 'th ugly number is 2880000.
The 618 'th ugly number is 2916000.
The 619 'th ugly number is 2949120.
The 620 'th ugly number is 2952450.
The 621 'th ugly number is 2985984.
The 622 'th ugly number is 3000000.
The 623 'th ugly number is 3037500.
The 624 'th ugly number is 3072000.
The 625 'th ugly number is 3110400.
The 626 'th ugly number is 3125000.
The 627 'th ugly number is 3145728.
The 628 'th ugly number is 3149280.
The 629 'th ugly number is 3188646.
The 630 'th ugly number is 3200000.
The 631 'th ugly number is 3240000.
The 632 'th ugly number is 3276800.
The 633 'th ugly number is 3280500.
The 634 'th ugly number is 3317760.
The 635 'th ugly number is 3359232.
The 636 'th ugly number is 3375000.
The 637 'th ugly number is 3456000.
The 638 'th ugly number is 3499200.
The 639 'th ugly number is 3515625.
The 640 'th ugly number is 3538944.
The 641 'th ugly number is 3542940.
The 642 'th ugly number is 3600000.
The 643 'th ugly number is 3645000.
The 644 'th ugly number is 3686400.
The 645 'th ugly number is 3732480.
The 646 'th ugly number is 3750000.
The 647 'th ugly number is 3779136.
The 648 'th ugly number is 3796875.
The 649 'th ugly number is 3840000.
The 650 'th ugly number is 3888000.
The 651 'th ugly number is 3906250.
The 652 'th ugly number is 3932160.
The 653 'th ugly number is 3936600.
The 654 'th ugly number is 3981312.
The 655 'th ugly number is 4000000.
The 656 'th ugly number is 4050000.
The 657 'th ugly number is 4096000.
The 658 'th ugly number is 4100625.
The 659 'th ugly number is 4147200.
The 660 'th ugly number is 4194304.
The 661 'th ugly number is 4199040.
The 662 'th ugly number is 4218750.
The 663 'th ugly number is 4251528.
The 664 'th ugly number is 4320000.
The 665 'th ugly number is 4374000.
The 666 'th ugly number is 4423680.
The 667 'th ugly number is 4428675.
The 668 'th ugly number is 4478976.
The 669 'th ugly number is 4500000.
The 670 'th ugly number is 4556250.
The 671 'th ugly number is 4608000.
The 672 'th ugly number is 4665600.
The 673 'th ugly number is 4687500.
The 674 'th ugly number is 4718592.
The 675 'th ugly number is 4723920.
The 676 'th ugly number is 4782969.
The 677 'th ugly number is 4800000.
The 678 'th ugly number is 4860000.
The 679 'th ugly number is 4915200.
The 680 'th ugly number is 4920750.
The 681 'th ugly number is 4976640.
The 682 'th ugly number is 5000000.
The 683 'th ugly number is 5038848.
The 684 'th ugly number is 5062500.
The 685 'th ugly number is 5120000.
The 686 'th ugly number is 5184000.
The 687 'th ugly number is 5242880.
The 688 'th ugly number is 5248800.
The 689 'th ugly number is 5308416.
The 690 'th ugly number is 5314410.
The 691 'th ugly number is 5400000.
The 692 'th ugly number is 5467500.
The 693 'th ugly number is 5529600.
The 694 'th ugly number is 5598720.
The 695 'th ugly number is 5625000.
The 696 'th ugly number is 5668704.
The 697 'th ugly number is 5760000.
The 698 'th ugly number is 5832000.
The 699 'th ugly number is 5859375.
The 700 'th ugly number is 5898240.
The 701 'th ugly number is 5904900.
The 702 'th ugly number is 5971968.
The 703 'th ugly number is 6000000.
The 704 'th ugly number is 6075000.
The 705 'th ugly number is 6144000.
The 706 'th ugly number is 6220800.
The 707 'th ugly number is 6250000.
The 708 'th ugly number is 6291456.
The 709 'th ugly number is 6298560.
The 710 'th ugly number is 6328125.
The 711 'th ugly number is 6377292.
The 712 'th ugly number is 6400000.
The 713 'th ugly number is 6480000.
The 714 'th ugly number is 6553600.
The 715 'th ugly number is 6561000.
The 716 'th ugly number is 6635520.
The 717 'th ugly number is 6718464.
The 718 'th ugly number is 6750000.
The 719 'th ugly number is 6834375.
The 720 'th ugly number is 6912000.
The 721 'th ugly number is 6998400.
The 722 'th ugly number is 7031250.
The 723 'th ugly number is 7077888.
The 724 'th ugly number is 7085880.
The 725 'th ugly number is 7200000.
The 726 'th ugly number is 7290000.
The 727 'th ugly number is 7372800.
The 728 'th ugly number is 7381125.
The 729 'th ugly number is 7464960.
The 730 'th ugly number is 7500000.
The 731 'th ugly number is 7558272.
The 732 'th ugly number is 7593750.
The 733 'th ugly number is 7680000.
The 734 'th ugly number is 7776000.
The 735 'th ugly number is 7812500.
The 736 'th ugly number is 7864320.
The 737 'th ugly number is 7873200.
The 738 'th ugly number is 7962624.
The 739 'th ugly number is 7971615.
The 740 'th ugly number is 8000000.
The 741 'th ugly number is 8100000.
The 742 'th ugly number is 8192000.
The 743 'th ugly number is 8201250.
The 744 'th ugly number is 8294400.
The 745 'th ugly number is 8388608.
The 746 'th ugly number is 8398080.
The 747 'th ugly number is 8437500.
The 748 'th ugly number is 8503056.
The 749 'th ugly number is 8640000.
The 750 'th ugly number is 8748000.
The 751 'th ugly number is 8847360.
The 752 'th ugly number is 8857350.
The 753 'th ugly number is 8957952.
The 754 'th ugly number is 9000000.
The 755 'th ugly number is 9112500.
The 756 'th ugly number is 9216000.
The 757 'th ugly number is 9331200.
The 758 'th ugly number is 9375000.
The 759 'th ugly number is 9437184.
The 760 'th ugly number is 9447840.
The 761 'th ugly number is 9565938.
The 762 'th ugly number is 9600000.
The 763 'th ugly number is 9720000.
The 764 'th ugly number is 9765625.
The 765 'th ugly number is 9830400.
The 766 'th ugly number is 9841500.
The 767 'th ugly number is 9953280.
The 768 'th ugly number is 10000000.
The 769 'th ugly number is 10077696.
The 770 'th ugly number is 10125000.
The 771 'th ugly number is 10240000.
The 772 'th ugly number is 10368000.
The 773 'th ugly number is 10485760.
The 774 'th ugly number is 10497600.
The 775 'th ugly number is 10546875.
The 776 'th ugly number is 10616832.
The 777 'th ugly number is 10628820.
The 778 'th ugly number is 10800000.
The 779 'th ugly number is 10935000.
The 780 'th ugly number is 11059200.
The 781 'th ugly number is 11197440.
The 782 'th ugly number is 11250000.
The 783 'th ugly number is 11337408.
The 784 'th ugly number is 11390625.
The 785 'th ugly number is 11520000.
The 786 'th ugly number is 11664000.
The 787 'th ugly number is 11718750.
The 788 'th ugly number is 11796480.
The 789 'th ugly number is 11809800.
The 790 'th ugly number is 11943936.
The 791 'th ugly number is 12000000.
The 792 'th ugly number is 12150000.
The 793 'th ugly number is 12288000.
The 794 'th ugly number is 12301875.
The 795 'th ugly number is 12441600.
The 796 'th ugly number is 12500000.
The 797 'th ugly number is 12582912.
The 798 'th ugly number is 12597120.
The 799 'th ugly number is 12656250.
The 800 'th ugly number is 12754584.
The 801 'th ugly number is 12800000.
The 802 'th ugly number is 12960000.
The 803 'th ugly number is 13107200.
The 804 'th ugly number is 13122000.
The 805 'th ugly number is 13271040.
The 806 'th ugly number is 13286025.
The 807 'th ugly number is 13436928.
The 808 'th ugly number is 13500000.
The 809 'th ugly number is 13668750.
The 810 'th ugly number is 13824000.
The 811 'th ugly number is 13996800.
The 812 'th ugly number is 14062500.
The 813 'th ugly number is 14155776.
The 814 'th ugly number is 14171760.
The 815 'th ugly number is 14348907.
The 816 'th ugly number is 14400000.
The 817 'th ugly number is 14580000.
The 818 'th ugly number is 14745600.
The 819 'th ugly number is 14762250.
The 820 'th ugly number is 14929920.
The 821 'th ugly number is 15000000.
The 822 'th ugly number is 15116544.
The 823 'th ugly number is 15187500.
The 824 'th ugly number is 15360000.
The 825 'th ugly number is 15552000.
The 826 'th ugly number is 15625000.
The 827 'th ugly number is 15728640.
The 828 'th ugly number is 15746400.
The 829 'th ugly number is 15925248.
The 830 'th ugly number is 15943230.
The 831 'th ugly number is 16000000.
The 832 'th ugly number is 16200000.
The 833 'th ugly number is 16384000.
The 834 'th ugly number is 16402500.
The 835 'th ugly number is 16588800.
The 836 'th ugly number is 16777216.
The 837 'th ugly number is 16796160.
The 838 'th ugly number is 16875000.
The 839 'th ugly number is 17006112.
The 840 'th ugly number is 17280000.
The 841 'th ugly number is 17496000.
The 842 'th ugly number is 17578125.
The 843 'th ugly number is 17694720.
The 844 'th ugly number is 17714700.
The 845 'th ugly number is 17915904.
The 846 'th ugly number is 18000000.
The 847 'th ugly number is 18225000.
The 848 'th ugly number is 18432000.
The 849 'th ugly number is 18662400.
The 850 'th ugly number is 18750000.
The 851 'th ugly number is 18874368.
The 852 'th ugly number is 18895680.
The 853 'th ugly number is 18984375.
The 854 'th ugly number is 19131876.
The 855 'th ugly number is 19200000.
The 856 'th ugly number is 19440000.
